CURVE,X,Y
251,29,20.8
251,30,22.5
251,32,24.3
251,33,25.1
251,34,26.9
251,37,29.6
251,38,31.4
251,39,32.4
251,41,34.2
251,42,36.1
251,44,37.9
251,45,38.9
251,46,40.8
251,48,42.6
251,49,43.6
251,50,45.5
251,51,46.4
251,52,47.4
251,53,48.3
251,54,50.2
251,55,51.2
251,56,52.1
251,57,53.1
251,58,55
251,59,55.9
251,60,56.9
251,61,57.8
251,62,59.7
251,63,60.7
251,64,61.6
251,65,62.6
251,66,64.4
251,67,65.4
251,69,67.2
251,70,69.1
251,73,71.8
251,74,73.7
251,77,76.4
251,78,78.2
251,81,80.9
251,82,82.6
251,84,84.4
251,85,85.2
251,86,87
251,87,87.8
251,88,88.7
251,89,89.5
251,90,91.2
251,91,92.1
251,93,93.7
251,94,95.4
251,97,97.8
251,98,99.4
251,101,101.8
251,102,103.3
251,104,104.9
251,105,105.6
251,106,107.1
251,107,107.9
251,108,108.6
251,109,109.4
251,110,110.8
251,111,111.5
251,112,112.3
251,113,113
251,114,114.4
251,117,116.5
251,118,117.8
251,120,119.2
251,121,119.8
251,122,121.1
251,123,121.8
251,125,123
251,126,124.3
251,128,125.5
251,129,126.2
251,130,127.4
251,131,128
251,132,128.5
251,133,129.1
251,134,130.3
251,135,130.9
251,136,131.4
251,137,132
251,138,133.1
251,139,133.6
251,140,134.2
251,141,134.7
251,142,135.8
251,145,137.3
251,146,138.3
251,149,139.8
251,150,140.7
251,151,141.2
251,152,141.6
251,153,142.1
251,154,143
251,155,143.4
251,156,143.9
251,157,144.3
251,158,145.2
251,161,146.4
251,162,147.2
251,165,148.4
251,166,149.1
251,167,149.5
251,168,149.8
251,169,150.2
251,170,150.9
251,171,151.3
251,173,151.9
251,174,152.6
251,177,153.5
251,178,154.2
251,179,154.5
251,180,154.7
251,181,155
251,182,155.6
251,183,155.9
251,184,156.1
251,185,156.4
251,186,156.9
251,187,157.2
251,188,157.4
251,189,157.7
251,190,158.2
251,193,158.8
251,194,159.3
251,197,159.9
251,198,160.3
251,201,160.9
251,202,161.2
251,204,161.6
251,205,161.7
251,206,162
251,207,162.2
251,208,162.3
251,211,162.9
251,213,163.1
251,214,163.4
251,217,163.7
251,218,163.9
251,220,164.1
251,221,164.1
251,222,164.3
251,223,164.4
251,224,164.4
251,227,164.7
251,228,164.7
251,231,165
251,232,165
251,235,165.3
251,236,165.3
251,237,165.4
251,238,165.6
251,239,165.7
349,0,0
349,1,0
349,2,0.8
349,3,1.7
349,4,2.9
349,5,4.5
349,6,8.6
349,7,11.2
349,8,14.1
349,9,17.3
349,10,24.8
349,11,28.9
349,12,33.4
349,13,38.2
349,14,48.6
349,16,60.1
349,17,66.3
349,18,79.3
349,19,86.1
349,20,93.2
349,21,100.6
349,22,115.7
349,24,131.6
349,25,140.1
349,26,156.9
349,27,165.6
349,29,183.3
349,30,201.5
349,31,210.7
349,33,229.7
349,34,248.8
349,37,278.2
349,38,298.3
349,41,328.5
349,42,348.9
349,45,379.6
349,46,400.1
349,49,430.9
349,50,451.4
349,53,481.9
349,54,502.1
349,57,532.1
349,58,551.9
349,61,581.1
349,62,600.3
349,65,628.5
349,66,647
349,69,674.2
349,70,691.7
349,71,700.5
349,73,717.6
349,74,734.4
349,76,750.8
349,77,758.8
349,78,774.6
349,81,797.6
349,82,812.3
